DateTime,DateTime_sum,frame_nr,time_sum_ar,Timestamp,StepCount,last_step_time_ar,RightFootGround,LeftFootGround,step_length_sum_ar,hip_pos_list x,      y  ,      z  ,step_hip_list,LegLength,StepLength,StepLengthRatio,StrideWidth,StrideWidthRatio,StrideLengthRight,StrideLengthRightRatio,StrideTimeRight,StrideLengthLeft,StrideLengthLeftRatio,StrideTimeLeft,Velocity,VelocityRatio,Acceleration,AccelerationRatio,HeadRotationX,HeadRotationY,HeadRotationZ,HeadRotationW
27.11.2023 11:11:22 :593,751,53,0.611418,1.766667,0,-1,1,1,-1,(1.573847, 0.000000, 2.696797),-1,0.884548,0.213911,0.241831,0.211749,0.239387,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.012846,0.014523,2.477033,2.800338,-0.834773,0.016608,0.548697,-0.042553
27.11.2023 11:11:22 :597,755,54,0.615039,1.800000,0,-1,1,1,-1,(1.573760, 0.000000, 2.696852),-1,0.884548,0.214050,0.241988,0.211882,0.239537,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.028397,0.032103,4.295029,4.855620,-0.834752,0.016557,0.548732,-0.042517
27.11.2023 11:11:22 :599,757,55,0.617565,1.833333,0,-1,1,1,-1,(1.573701, 0.000000, 2.696890),-1,0.884548,0.214145,0.242095,0.211973,0.239640,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.027968,0.031618,0.171381,0.193750,-0.834738,0.016522,0.548757,-0.042493
27.11.2023 11:11:22 :603,761,56,0.621453,1.866667,0,-1,1,1,-1,(1.573659, 0.000000, 2.696917),-1,0.884548,0.214211,0.242170,0.212036,0.239711,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.012690,0.014346,3.929678,4.442584,-0.834728,0.016498,0.548774,-0.042476
27.11.2023 11:11:22 :607,765,57,0.625861,1.900000,0,-1,1,1,-1,(1.573599, 0.000000, 2.696957),-1,0.884548,0.214258,0.242223,0.212083,0.239764,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.016383,0.018521,0.839570,0.949152,-0.834711,0.016472,0.548803,-0.042450
27.11.2023 11:11:22 :611,769,58,0.629733,1.933333,0,-1,1,1,-1,(1.573539, 0.000000, 2.696999),-1,0.884548,0.214206,0.242165,0.212040,0.239716,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.019086,0.021577,0.703736,0.795588,-0.834689,0.016464,0.548839,-0.042422
27.11.2023 11:11:22 :614,772,59,0.632949,1.966667,0,-1,1,1,-1,(1.573485, 0.000000, 2.697037),-1,0.884548,0.214161,0.242113,0.212003,0.239674,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020321,0.022973,0.386243,0.436656,-0.834670,0.016457,0.548871,-0.042397
27.11.2023 11:11:22 :617,775,60,0.635633,2.000000,0,-1,1,1,-1,(1.573441, 0.000000, 2.697068),-1,0.884548,0.214123,0.242070,0.211972,0.239639,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020228,0.022868,0.046827,0.052939,-0.834653,0.016451,0.548897,-0.042376
27.11.2023 11:11:22 :621,779,61,0.639373,2.033334,0,-1,1,1,-1,(1.573404, 0.000000, 2.697094),-1,0.884548,0.214092,0.242035,0.211946,0.239610,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.012115,0.013697,2.168903,2.451990,-0.834639,0.016446,0.548919,-0.042359
27.11.2023 11:11:22 :626,784,62,0.643819,2.066667,0,-1,1,1,-1,(1.573353, 0.000000, 2.697131),-1,0.884548,0.214048,0.241986,0.211910,0.239569,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.014214,0.016069,0.472614,0.534300,-0.834621,0.016439,0.548950,-0.042335
27.11.2023 11:11:22 :629,787,63,0.647832,2.100000,0,-1,1,1,-1,(1.573292, 0.000000, 2.697175),-1,0.884548,0.213996,0.241927,0.211867,0.239521,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.018732,0.021177,1.125830,1.272775,-0.834598,0.016431,0.548987,-0.042307
27.11.2023 11:11:22 :632,790,64,0.650514,2.133333,0,-1,1,1,-1,(1.573237, 0.000000, 2.697215),-1,0.884548,0.213949,0.241874,0.211829,0.239477,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.025312,0.028616,2.453532,2.773769,-0.834578,0.016424,0.549020,-0.042281
27.11.2023 11:11:22 :636,794,65,0.654390,2.166667,0,-1,1,1,-1,(1.573200, 0.000000, 2.697242),-1,0.884548,0.213918,0.241838,0.211803,0.239448,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.011715,0.013244,3.508574,3.966517,-0.834564,0.016419,0.549042,-0.042264
27.11.2023 11:11:22 :640,798,66,0.658544,2.200000,0,-1,1,1,-1,(1.573150, 0.000000, 2.697280),-1,0.884548,0.213850,0.241762,0.211746,0.239383,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.015222,0.017208,0.846456,0.956936,-0.834546,0.016419,0.549071,-0.042244
27.11.2023 11:11:22 :645,803,67,0.662811,2.233333,0,-1,1,1,-1,(1.573103, 0.000000, 2.697319),-1,0.884548,0.213712,0.241606,0.211627,0.239249,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.014172,0.016022,0.281883,0.318675,-0.834532,0.016439,0.549092,-0.042235
27.11.2023 11:11:22 :647,805,68,0.665724,2.266667,0,-1,1,1,-1,(1.573055, 0.000000, 2.697358),-1,0.884548,0.213571,0.241447,0.211506,0.239112,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.021451,0.024251,2.498937,2.825101,-0.834518,0.016459,0.549114,-0.042227
27.11.2023 11:11:22 :651,809,69,0.669591,2.300000,0,-1,1,1,-1,(1.573022, 0.000000, 2.697386),-1,0.884548,0.213475,0.241338,0.211423,0.239019,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.010987,0.012421,2.705730,3.058884,-0.834508,0.016473,0.549129,-0.042221
27.11.2023 11:11:22 :655,813,70,0.672754,2.333333,0,-1,1,1,-1,(1.572979, 0.000000, 2.697422),-1,0.884548,0.213347,0.241193,0.211313,0.238894,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.017924,0.020264,2.193766,2.480098,-0.834495,0.016491,0.549149,-0.042213
27.11.2023 11:11:22 :659,817,71,0.676906,2.366667,0,-1,1,1,-1,(1.572943, 0.000000, 2.697452),-1,0.884548,0.213242,0.241075,0.211223,0.238792,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.011124,0.012575,1.637920,1.851702,-0.834484,0.016506,0.549166,-0.042207
27.11.2023 11:11:22 :661,819,72,0.679547,2.400000,0,-1,1,1,-1,(1.572897, 0.000000, 2.697491),-1,0.884548,0.213106,0.240920,0.211105,0.238659,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.022962,0.025959,4.483712,5.068930,-0.834470,0.016526,0.549187,-0.042199
27.11.2023 11:11:22 :666,824,73,0.683979,2.433333,0,-1,1,1,-1,(1.572868, 0.000000, 2.697516),-1,0.884548,0.213019,0.240822,0.211031,0.238574,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.008754,0.009896,3.205358,3.623724,-0.834461,0.016539,0.549201,-0.042194
27.11.2023 11:11:22 :668,826,74,0.686801,2.466667,0,-1,1,1,-1,(1.572819, 0.000000, 2.697559),-1,0.884548,0.212873,0.240657,0.210904,0.238432,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.023002,0.026004,5.049177,5.708200,-0.834446,0.016560,0.549224,-0.042185
